day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;BANANAS;4871;9;4870;23;;;4877;23;;;;;4874.0;0.0
1;0;PEARLS;9998;9;9995;23;;;10005;23;;;;;10001.5;0.0
1;100;BANANAS;4875;1;4871;4;4870;22;4877;22;;;;;4876.0;0.0
1;100;PEARLS;10002;1;10000;2;9998;4;10004;1;10005;21;;;10003.0;0.0
1;200;BANANAS;4870;22;;;;;4876;22;;;;;4873.0;0.0
1;200;PEARLS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;0.0
1;300;BANANAS;4873;1;4870;22;4868;26;4875;26;4876;22;;;4874.0;0.0
1;300;PEARLS;9996;1;9995;47;;;10004;1;10005;47;;;10000.0;0.0
1;400;BANANAS;4870;8;4869;28;;;4871;5;4875;28;;;4870.5;0.0
1;400;PEARLS;9998;8;9996;2;9995;26;10004;2;10005;26;;;10001.0;0.0
1;500;BANANAS;4874;1;4870;8;4869;24;4875;1;4876;23;;;4874.5;0.0
1;500;PEARLS;9998;8;9996;1;9995;23;10004;1;10005;23;;;10001.0;0.0
1;600;BANANAS;4868;30;;;;;4875;30;;;;;4871.5;0.0
1;600;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;0.0
1;700;BANANAS;4868;53;;;;;4869;1;4875;53;;;4868.5;0.0
1;700;PEARLS;9996;3;9995;50;;;10004;3;10005;50;;;10000.0;0.0
1;800;PEARLS;9996;4;9995;74;;;10000;3;10004;4;10005;74;9998.0;0.0
1;800;BANANAS;4869;1;4868;77;;;4875;78;;;;;4872.0;0.0
1;900;BANANAS;4869;2;4868;97;;;4875;99;;;;;4872.0;0.0
1;900;PEARLS;9996;5;9995;94;;;9998;11;10000;3;10004;5;9997.0;0.0
1;1000;PEARLS;9996;6;9995;124;;;9998;11;10000;3;10004;6;9997.0;0.0
1;1000;BANANAS;4869;2;4868;128;;;4875;130;;;;;4872.0;0.0
1;1100;BANANAS;4869;2;4868;150;;;4873;6;4875;152;;;4871.0;0.0
1;1100;PEARLS;9996;7;9995;145;;;9998;11;10000;3;10002;6;9997.0;0.0
1;1200;PEARLS;9996;8;9995;167;;;9998;11;10000;3;10002;6;9997.0;0.0
1;1200;BANANAS;4869;1;4868;173;;;4873;6;4874;1;4875;174;4871.0;0.0
1;1300;BANANAS;4869;1;4868;173;4867;25;4873;6;4874;26;4875;174;4871.0;0.0
1;1300;PEARLS;9996;8;9995;192;;;9998;10;10000;3;10002;6;9997.0;0.0
1;1400;PEARLS;9996;8;9995;215;;;9998;10;10000;9;10002;6;9997.0;0.0
1;1400;BANANAS;4869;1;4868;196;4867;25;4873;6;4874;26;4875;197;4871.0;0.0
1;1500;BANANAS;4869;22;4868;196;4867;25;4873;5;4874;26;4875;218;4871.0;0.0
1;1500;PEARLS;9996;9;9995;235;;;9998;14;10000;9;10002;6;9997.0;0.0
1;1600;PEARLS;9996;11;9995;263;;;9998;14;10000;9;10002;6;9997.0;0.0
1;1600;BANANAS;4869;24;4868;224;4867;25;4873;5;4874;26;4875;248;4871.0;0.0
1;1700;BANANAS;4869;24;4868;252;4867;25;4870;2;4873;5;4874;26;4869.5;0.0
1;1700;PEARLS;9996;11;9995;291;;;9998;14;10000;9;10002;6;9997.0;0.0
1;1800;PEARLS;9996;11;9995;314;;;9998;10;10000;9;10002;16;9997.0;0.0
1;1800;BANANAS;4869;24;4868;275;4867;25;4870;2;4872;10;4873;5;4869.5;0.0
1;1900;BANANAS;4869;23;4868;307;4867;25;4870;2;4872;10;4873;5;4869.5;0.0
1;1900;PEARLS;9996;13;9995;344;;;9998;10;10000;9;10002;16;9997.0;0.0
